#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
..GO:0019774	CC	e	proteasome core complex, beta-subunit complex	1/441	3/38747	0.0338	3	1	1	1	1	0.74	      t18960aep
....GO:0000148	CC	e	1,3-beta-D-glucan synthase complex	1/441	3/38747	0.0338	4	1	1	1	1	0.74	       t7326aep
....GO:0070451	CC	e	cell hair                     	1/441	3/38747	0.0338	4	1	1	1	1	0.74	       t7326aep
...GO:0019897	CC	e	extrinsic component of plasma membrane	5/441	158/38747	0.0351	3	5	1	1	1	0.754	t21013aep, t24687aep, t25651aep, t34424aep, t7388aep
.....GO:0043073	CC	e	germ cell nucleus             	2/441	26/38747	0.0351	6	2	1	1	1	0.754	t18683aep, t34609aep
..GO:0098794	CC	e	postsynapse                   	4/441	109/38747	0.0362	2	4	1	1	1	0.772	t16778aep, t32280aep, t32984aep, t7288aep
...GO:0016234	CC	e	inclusion body                	3/441	64/38747	0.0366	3	3	1	1	1	0.779	t22133aep, t3105aep, t32984aep
..GO:0031012	CC	e	extracellular matrix          	9/441	372/38747	0.0416	2	9	1	1	1	0.844	t10028aep, t12198aep, t14664aep, t16424aep, t21682aep, t24687aep, t27001aep, t33020aep, t34424aep
....GO:0044309	CC	e	neuron spine                  	3/441	68/38747	0.0426	5	3	1	1	1	0.844	t16778aep, t32280aep, t34385aep
...GO:0030018	CC	e	Z disc                        	3/441	68/38747	0.0426	5	3	1	1	1	0.844	t20542aep, t36337aep, t7288aep
....GO:0016235	CC	e	aggresome                     	2/441	29/38747	0.0429	4	2	1	1	1	0.844	t22133aep, t3105aep
...GO:0072557	CC	e	IPAF inflammasome complex     	1/441	4/38747	0.0448	6	1	1	1	1	0.844	       t7281aep
...GO:0097169	CC	e	AIM2 inflammasome complex     	1/441	4/38747	0.0448	6	1	1	1	1	0.844	       t7281aep
.....GO:0097441	CC	e	basal dendrite                	1/441	4/38747	0.0448	6	1	1	1	1	0.844	      t29764aep
.....GO:0044299	CC	e	C-fiber                       	1/441	4/38747	0.0448	6	1	1	1	1	0.844	        t527aep
.....GO:0071682	CC	e	endocytic vesicle lumen       	1/441	4/38747	0.0448	6	1	1	1	1	0.844	      t20542aep
...GO:0097524	CC	e	sperm plasma membrane         	1/441	4/38747	0.0448	3	1	1	1	1	0.844	      t20542aep
...GO:0061827	CC	e	sperm head                    	1/441	4/38747	0.0448	3	1	1	1	1	0.844	      t16778aep
..GO:0044297	CC	e	cell body                     	9/441	385/38747	0.0453	2	9	1	1	1	0.853	t16778aep, t17803aep, t19259aep, t20542aep, t24938aep, t29764aep, t2978aep, t32280aep, t9936aep
....GO:0036464	CC	e	cytoplasmic ribonucleoprotein granule	6/441	229/38747	0.048	6	6	1	1	1	0.89	t16922aep, t20009aep, t24687aep, t2978aep, t34424aep, t35488aep
...GO:0005934	CC	e	cellular bud tip              	2/441	31/38747	0.0484	3	2	1	1	1	0.894	t13546aep, t13547aep
....GO:0005634	CC	e	nucleus                       	54/441	3673/38747	0.0496	5	54	1	1	1	0.914	t10593aep, t11396aep, t11695aep, t13511aep, t13899aep, t14593aep, t14735aep, t14844aep, t16424aep, t16778aep, t17893aep, t18342aep, t18683aep, t18960aep, t19259aep, t19405aep, t20542aep, t24246aep, t24687aep, t25302aep, t25651aep, t26772aep, t27033aep, t27094aep, t27641aep, t28405aep, t30054aep, t30237aep, t30770aep, t32561aep, t32607aep, t32984aep, t34424aep, t34609aep, t35488aep, t35573aep, t35837aep, t36337aep, t37004aep, t38458aep, t38672aep, t38673aep, t3924aep, t5862aep, t6933aep, t7281aep, t7288aep, t7388aep, t7577aep, t7712aep, t8582aep, t8645aep, t9529aep, t9936aep
....GO:0044451	CC	p	nucleoplasm part              	1/441	721/38747	0.00403	5	1	1	1	1	0.238	      t14055aep
..GO:1902494	CC	p	catalytic complex             	11/441	2044/38747	0.00695	2	11	1	1	1	0.334	t14055aep, t17178aep, t19259aep, t19405aep, t24246aep, t25651aep, t26705aep, t35488aep, t5403aep, t7326aep, t8582aep
...GO:0044430	CC	p	cytoskeletal part             	9/441	1750/38747	0.00779	4	9	1	1	1	0.357	t18192aep, t20542aep, t25683aep, t31710aep, t32984aep, t34847aep, t38432aep, t38672aep, t38673aep
..GO:0044446	CC	p	intracellular organelle part  	63/441	7304/38747	0.0141	3	63	1	1	1	0.474	t11116aep, t11695aep, t13511aep, t14055aep, t15078aep, t16424aep, t16778aep, t16922aep, t17263aep, t17956aep, t18192aep, t18683aep, t19259aep, t19405aep, t20009aep, t203aep, t20542aep, t21682aep, t22133aep, t23663aep, t24791aep, t24949aep, t25683aep, t25995aep, t26772aep, t27538aep, t27641aep, t2830aep, t28521aep, t29103aep, t29674aep, t29730aep, t29764aep, t2978aep, t30054aep, t30176aep, t31710aep, t31838aep, t31997aep, t32609aep, t32984aep, t33022aep, t34475aep, t34486aep, t34847aep, t35488aep, t35573aep, t37405aep, t38432aep, t38653aep, t38672aep, t38673aep, t4831aep, t5068aep, t5403aep, t5862aep, t5914aep, t6387aep, t6933aep, t8142aep, t8582aep, t8645aep, t8946aep
....GO:0005815	CC	p	microtubule organizing center 	1/441	594/38747	0.0172	5	1	1	1	1	0.544	      t20542aep
...GO:1990234	CC	p	transferase complex           	5/441	1000/38747	0.0494	3	5	1	1	1	0.911	t14055aep, t17178aep, t19405aep, t24246aep, t7326aep
....GO:0005520	MF	e	insulin-like growth factor binding	6/441	35/38747	2.58e-06	4	6	0.051	0.0498	0.051	0.00474	t18606aep, t22395aep, t3141aep, t3142aep, t33020aep, t34475aep
...GO:0008061	MF	e	chitin binding                	16/441	393/38747	1.39e-05	3	16	0.275	0.268	0.274	0.0127	t11117aep, t20662aep, t2654aep, t29612aep, t31117aep, t31144aep, t33020aep, t33227aep, t33764aep, t34385aep, t34609aep, t35271aep, t36169aep, t37043aep, t38611aep, t5520aep
..GO:0097367	MF	e	carbohydrate derivative binding	105/441	6193/38747	1.94e-05	2	105	0.384	0.374	0.383	0.0144	t10593aep, t11116aep, t11117aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t17956aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20662aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24687aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29490aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t31117aep, t31144aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34385aep, t34424aep, t34475aep, t34538aep, t34609aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37043aep, t37460aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7388aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
.......GO:0005245	MF	e	voltage-gated calcium channel activity	6/441	50/38747	2.19e-05	9	6	0.433	0.422	0.432	0.0144	t17803aep, t18338aep, t24938aep, t25020aep, t36613aep, t9936aep
..GO:0008144	MF	e	drug binding                  	94/441	5563/38747	6.9e-05	2	94	1	1	1	0.028	t10593aep, t11116aep, t11117aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14735aep, t14844aep, t16778aep, t16922aep, t16927aep, t17803aep, t17956aep, t18960aep, t19259aep, t20009aep, t203aep, t20542aep, t20662aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24246aep, t24791aep, t24949aep, t25302aep, t25651aep, t26438aep, t2654aep, t26740aep, t27839aep, t28206aep, t28405aep, t28521aep, t29320aep, t29612aep, t29674aep, t30054aep, t30176aep, t30770aep, t31117aep, t31144aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32280aep, t32532aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34385aep, t34475aep, t34538aep, t34609aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t36169aep, t37043aep, t37460aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
....GO:0008373	MF	e	sialyltransferase activity    	3/441	8/38747	7.86e-05	4	3	1	1	1	0.0288	t29674aep, t30176aep, t33022aep
.GO:0005488	MF	e	binding                       	205/441	14546/38747	0.000134	1	205	1	1	1	0.0365	t10028aep, t10518aep, t10593aep, t11116aep, t11117aep, t11396aep, t11436aep, t11695aep, t12198aep, t1246aep, t12680aep, t13269aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14391aep, t14426aep, t14491aep, t14593aep, t14664aep, t14735aep, t14844aep, t14933aep, t15805aep, t15844aep, t16182aep, t16424aep, t16778aep, t16922aep, t16927aep, t17178aep, t17263aep, t17803aep, t17893aep, t17956aep, t18338aep, t18342aep, t18501aep, t18606aep, t18683aep, t18960aep, t19259aep, t19328aep, t19405aep, t19681aep, t19723aep, t20009aep, t203aep, t20542aep, t20662aep, t20852aep, t2091aep, t21013aep, t21229aep, t21682aep, t22133aep, t22395aep, t22441aep, t23648aep, t23663aep, t2368aep, t24181aep, t24246aep, t24549aep, t24687aep, t24791aep, t2479aep, t24934aep, t24938aep, t24949aep, t25020aep, t25153aep, t25302aep, t25533aep, t25651aep, t25683aep, t25995aep, t26415aep, t26438aep, t2654aep, t26705aep, t26740aep, t26772aep, t27033aep, t27094aep, t2723aep, t27538aep, t27641aep, t27839aep, t28151aep, t28206aep, t2830aep, t28405aep, t28512aep, t28521aep, t28608aep, t29103aep, t29320aep, t29369aep, t29490aep, t29584aep, t29612aep, t29668aep, t29669aep, t29674aep, t29685aep, t29730aep, t29764aep, t2978aep, t29797aep, t29842aep, t30054aep, t30176aep, t30237aep, t30358aep, t30770aep, t30850aep, t3105aep, t31117aep, t31144aep, t3141aep, t3142aep, t31503aep, t31525aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32280aep, t32298aep, t32532aep, t32561aep, t32607aep, t32609aep, t32984aep, t33020aep, t33022aep, t33111aep, t33227aep, t33475aep, t33764aep, t34380aep, t34385aep, t34424aep, t34475aep, t34502aep, t34538aep, t34609aep, t34847aep, t34988aep, t35271aep, t35488aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t36337aep, t36613aep, t37004aep, t37043aep, t37405aep, t37460aep, t37740aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t4318aep, t4831aep, t5068aep, t514aep, t515aep, t526aep, t527aep, t5403aep, t5520aep, t5862aep, t5914aep, t6387aep, t6933aep, t7281aep, t7288aep, t7326aep, t7388aep, t7577aep, t7712aep, t8142aep, t8222aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep, t9936aep, t9941aep
......GO:0005262	MF	e	calcium channel activity      	9/441	174/38747	0.000185	8	9	1	1	1	0.0433	t17803aep, t18338aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t9936aep
..GO:0043167	MF	e	ion binding                   	154/441	10409/38747	0.000186	2	154	1	1	1	0.0433	t10593aep, t11116aep, t11396aep, t11436aep, t11695aep, t12198aep, t12680aep, t13269aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14391aep, t14426aep, t14664aep, t14735aep, t14844aep, t15805aep, t15844aep, t16424aep, t16778aep, t16922aep, t16927aep, t17178aep, t17803aep, t17893aep, t17956aep, t18338aep, t18342aep, t18683aep, t18960aep, t19259aep, t19328aep, t19723aep, t20009aep, t203aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t2368aep, t24181aep, t24246aep, t24687aep, t24791aep, t2479aep, t24934aep, t24938aep, t24949aep, t25020aep, t25153aep, t25302aep, t25651aep, t25683aep, t26415aep, t26438aep, t2654aep, t26705aep, t26740aep, t26772aep, t27094aep, t2723aep, t27839aep, t28151aep, t28206aep, t2830aep, t28405aep, t28512aep, t28608aep, t29320aep, t29490aep, t29612aep, t29674aep, t29685aep, t29730aep, t30054aep, t30176aep, t30358aep, t30770aep, t30850aep, t3105aep, t31144aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32280aep, t32298aep, t32532aep, t32561aep, t32607aep, t32609aep, t32984aep, t33020aep, t33022aep, t33111aep, t33227aep, t33475aep, t33764aep, t34380aep, t34385aep, t34424aep, t34475aep, t34538aep, t34609aep, t34847aep, t34988aep, t35271aep, t35488aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t36613aep, t37004aep, t37405aep, t37460aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t5068aep, t514aep, t515aep, t526aep, t527aep, t5403aep, t5520aep, t5862aep, t5914aep, t6387aep, t6933aep, t7281aep, t7288aep, t7326aep, t7388aep, t7577aep, t7712aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
...GO:0043168	MF	e	anion binding                 	106/441	6642/38747	0.000216	3	106	1	1	1	0.047	t10593aep, t11116aep, t11695aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t17956aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24246aep, t24687aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t26772aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29612aep, t29674aep, t29730aep, t30054aep, t30176aep, t30358aep, t30770aep, t3105aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32609aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34385aep, t34424aep, t34475aep, t34538aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37004aep, t37460aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7288aep, t7326aep, t7388aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
...GO:0019838	MF	e	growth factor binding         	8/441	143/38747	0.000246	3	8	1	1	1	0.0508	t18606aep, t21682aep, t22395aep, t31144aep, t3141aep, t3142aep, t33020aep, t34475aep
....GO:0017076	MF	e	purine nucleotide binding     	92/441	5645/38747	0.000308	5	92	1	1	1	0.0565	t10593aep, t11116aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34475aep, t34538aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37460aep, t38432aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
.....GO:0003968	MF	e	RNA-directed 5'-3' RNA polymerase activity	6/441	82/38747	0.000355	7	6	1	1	1	0.0586	t25651aep, t26740aep, t35573aep, t38672aep, t38673aep, t5914aep
......GO:0004530	MF	e	deoxyribonuclease I activity  	2/441	3/38747	0.000385	8	2	1	1	1	0.0586	t30770aep, t8582aep
...GO:0019955	MF	e	cytokine binding              	6/441	85/38747	0.000431	3	6	1	1	1	0.0646	t14055aep, t18501aep, t21682aep, t24687aep, t31144aep, t34424aep
......GO:0016759	MF	e	cellulose synthase activity   	3/441	14/38747	0.000486	6	3	1	1	1	0.0682	t29612aep, t35271aep, t5520aep
......GO:0016760	MF	e	cellulose synthase (UDP-forming) activity	3/441	14/38747	0.000486	7	3	1	1	1	0.0682	t29612aep, t35271aep, t5520aep
.....GO:0032561	MF	e	guanyl ribonucleotide binding 	10/441	242/38747	0.0005	7	10	1	1	1	0.0691	t13546aep, t13547aep, t15805aep, t24181aep, t32984aep, t34988aep, t35573aep, t38672aep, t38673aep, t7326aep
.......GO:0005248	MF	e	voltage-gated sodium channel activity	3/441	15/38747	0.000602	9	3	1	1	1	0.0784	t17803aep, t526aep, t527aep
....GO:0032296	MF	e	double-stranded RNA-specific ribonuclease activity	3/441	15/38747	0.000602	6	3	1	1	1	0.0784	t30770aep, t35573aep, t8582aep
....GO:0016763	MF	e	transferase activity, transferring pentosyl groups	8/441	166/38747	0.000667	4	8	1	1	1	0.0841	t13546aep, t13547aep, t14391aep, t27033aep, t29674aep, t30176aep, t33022aep, t8142aep
.....GO:0005525	MF	e	GTP binding                   	6/441	96/38747	0.000822	8	6	1	1	1	0.0946	t13546aep, t13547aep, t15805aep, t32984aep, t34988aep, t7326aep
.....GO:0003950	MF	e	NAD+ ADP-ribosyltransferase activity	6/441	97/38747	0.000868	5	6	1	1	1	0.0987	t14391aep, t27033aep, t29674aep, t30176aep, t33022aep, t8142aep
..GO:0036094	MF	e	small molecule binding        	102/441	6580/38747	0.00088	2	102	1	1	1	0.0989	t10593aep, t11116aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t17956aep, t18683aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24246aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t26772aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29369aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t3105aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32607aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34475aep, t34538aep, t34609aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37004aep, t37460aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
.....GO:0004709	MF	e	MAP kinase kinase kinase activity	3/441	17/38747	0.000884	7	3	1	1	1	0.0989	t29320aep, t3924aep, t8946aep
....GO:0035639	MF	e	purine ribonucleoside triphosphate binding	87/441	5448/38747	0.000919	4	87	1	1	1	0.1	t10593aep, t11116aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24791aep, t24949aep, t25302aep, t25651aep, t26438aep, t2654aep, t26740aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32984aep, t33020aep, t33022aep, t33475aep, t33764aep, t34475aep, t34538aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37460aep, t38432aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
...GO:0000166	MF	e	nucleotide binding            	95/441	6037/38747	0.000921	4	95	1	1	1	0.1	t10593aep, t11116aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t26772aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t3105aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34475aep, t34538aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37004aep, t37460aep, t38432aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
.....GO:0005244	MF	e	voltage-gated ion channel activity	10/441	265/38747	0.001	7	10	1	1	1	0.104	t14664aep, t17803aep, t18338aep, t24938aep, t25020aep, t36613aep, t37460aep, t526aep, t527aep, t9936aep
...GO:1901265	MF	e	nucleoside phosphate binding  	97/441	6237/38747	0.00109	3	97	1	1	1	0.107	t10593aep, t11116aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14109aep, t14347aep, t14735aep, t14844aep, t15805aep, t16778aep, t16922aep, t16927aep, t17803aep, t17893aep, t17956aep, t18960aep, t19259aep, t19328aep, t20009aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24181aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26438aep, t2654aep, t26740aep, t26772aep, t27839aep, t28206aep, t28405aep, t28512aep, t29320aep, t29612aep, t29674aep, t30054aep, t30176aep, t30358aep, t30770aep, t3105aep, t31503aep, t31813aep, t31838aep, t31944aep, t31997aep, t3227aep, t32532aep, t32607aep, t32984aep, t33020aep, t33022aep, t33227aep, t33475aep, t33764aep, t34475aep, t34538aep, t34847aep, t34988aep, t35271aep, t35573aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t37004aep, t37460aep, t38432aep, t38653aep, t38672aep, t38673aep, t3924aep, t514aep, t515aep, t5403aep, t5520aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
....GO:0031996	MF	e	thioesterase binding          	3/441	19/38747	0.00124	4	3	1	1	1	0.116	t13546aep, t13547aep, t17178aep
......GO:0015085	MF	e	calcium ion transmembrane transporter activity	10/441	273/38747	0.00125	7	10	1	1	1	0.116	t17803aep, t18338aep, t24246aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t9936aep
......GO:0022832	MF	e	voltage-gated channel activity	10/441	278/38747	0.00143	6	10	1	1	1	0.123	t14664aep, t17803aep, t18338aep, t24938aep, t25020aep, t36613aep, t37460aep, t526aep, t527aep, t9936aep
.....GO:0004175	MF	e	endopeptidase activity        	29/441	1350/38747	0.00145	5	29	1	1	1	0.123	t10518aep, t10593aep, t12198aep, t14664aep, t16424aep, t18960aep, t19259aep, t21013aep, t21229aep, t21682aep, t24246aep, t24687aep, t25651aep, t26415aep, t2654aep, t28151aep, t29685aep, t3227aep, t33020aep, t34385aep, t34424aep, t34609aep, t36169aep, t38611aep, t5403aep, t7281aep, t7388aep, t7712aep, t8222aep
...GO:0043169	MF	e	cation binding                	108/441	7160/38747	0.0016	3	108	1	1	1	0.133	t10593aep, t11396aep, t11436aep, t12198aep, t12680aep, t13269aep, t13511aep, t14055aep, t14391aep, t14426aep, t14664aep, t14735aep, t14844aep, t15844aep, t16424aep, t16778aep, t16922aep, t17178aep, t17803aep, t17956aep, t18338aep, t18342aep, t18683aep, t18960aep, t19723aep, t20009aep, t203aep, t21013aep, t21682aep, t2368aep, t24246aep, t24687aep, t24791aep, t2479aep, t24934aep, t24938aep, t24949aep, t25020aep, t25153aep, t25651aep, t25683aep, t26415aep, t2654aep, t26705aep, t26772aep, t27094aep, t2723aep, t27839aep, t28151aep, t2830aep, t28608aep, t29320aep, t29490aep, t29612aep, t29674aep, t29685aep, t30054aep, t30176aep, t30850aep, t3105aep, t31144aep, t31997aep, t3227aep, t32280aep, t32298aep, t32561aep, t32607aep, t32984aep, t33020aep, t33022aep, t33111aep, t33764aep, t34380aep, t34385aep, t34424aep, t34609aep, t34847aep, t35271aep, t35488aep, t35590aep, t35592aep, t35608aep, t35837aep, t36169aep, t36613aep, t37004aep, t37405aep, t38432aep, t38611aep, t3924aep, t5068aep, t514aep, t515aep, t526aep, t527aep, t5520aep, t5862aep, t6387aep, t6933aep, t7281aep, t7388aep, t7577aep, t7712aep, t8142aep, t8222aep, t8582aep, t8946aep, t9936aep
